"By Administrative District","Item","UNIT","2020.01 Month","2020.02 Month","2020.03 Month","2020.04 Month","2020.05 Month","2020.06 Month","2020.07 Month","2020.08 Month","2020.09 Month","2020.10 Month","2020.11 Month","2020.12 Month","2021.01 Month","2021.02 Month","2021.03 Month","2021.04 Month","2021.05 Month","2021.06 Month","2021.07 Month","2021.08 Month","2021.09 Month","2021.10 Month","2021.11 Month","2021.12 Month","2022.01 Month","2022.02 Month","2022.03 Month","2022.04 Month","2022.05 Month","2022.06 Month","2022.07 Month","2022.08 Month","2022.09 Month","2022.10 Month","2022.11 Month","2022.12 Month","2023.01 Month","2023.02 Month","2023.03 Month","2023.04 Month","2023.05 Month","2023.06 Month","2023.07 Month","2023.08 Month","2023.09 Month","2023.10 Month","2023.11 Month","2023.12 Month","2024.01 Month","2024.02 Month","2024.03 Month","2024.04 Month","2024.05 Month","2024.06 Month","2024.07 Month","2024.08 Month","2024.09 Month","2024.10 Month","2024.11 Month","2024.12 Month","2025.01 Month","2025.02 Month","2025.03 Month","2025.04 Month","2025.05 Month","2025.06 Month","2025.07 Month","2025.08 Month","2025.09 Month","2025.10 Month","2025.11 Month",
"Naju-si","Household[Household]","Household","56168","56257","56322","56426","56657","56817","56876","56977","57177","57431","57644","58025","58278","58589","58403","58578","58690","58781","58892","58940","59057","59142","59237","59292","59339","59526","59492","59518","59563","59584","59544","59564","59496","59538","59754","59865","59979","60088","60175","60271","60333","60358","60364","60367","60367","60356","60364","60419","60368","60387","60301","60254","60251","60218","60183","60153","60162","60046","60006","59951","59932","60192","60286","60389","60369","60338","60334","60287","60278","60239","60192",
"Gwangyang-si","Household[Household]","Household","64829","64627","64550","64773","65231","65237","65252","65177","65198","65124","65261","65668","65578","65699","65775","65858","65978","66069","66187","66252","66311","66575","66970","67103","67507","67626","67667","67754","67916","67978","68096","68288","68413","68587","68684","68734","68851","69046","69155","69220","69393","69426","69469","69495","69695","69862","69978","70162","70345","70520","70588","70594","70801","71044","71294","71685","71844","71976","72089","72237","72435","72610","72694","72841","72932","73066","73086","73112","73201","73269","73263",
"Damyang-gun","Household[Household]","Household","23514","23541","23565","23623","23762","23875","23924","23969","23998","24014","24092","24369","24490","24564","24608","24704","24740","24712","24703","24690","24679","24737","24758","24773","24758","24828","24849","24868","24905","24929","24912","24897","24821","24772","24743","24787","24746","24684","24748","24739","24739","24724","24707","24653","24642","24602","24552","24557","24475","24429","24415","24405","24478","24451","24383","24330","24304","24261","24252","24215","24163","24114","24138","24133","24106","24079","24046","24015","24000","23992","23959",
"Gokseong-gun","Household[Household]","Household","15261","15259","15249","15246","15271","15311","15325","15366","15383","15360","15369","15414","15415","15436","15427","15480","15588","15587","15581","15567","15539","15537","15544","15536","15527","15519","15544","15587","15604","15608","15604","15596","15522","15516","15505","15512","15524","15493","15506","15591","15623","15623","15603","15588","15602","15573","15591","15577","15550","15517","15523","15556","15551","15549","15543","15521","15549","15587","15603","15600","15613","15603","15602","15616","15618","15620","15592","15571","15591","15591","15642",
"Gurye-gun","Household[Household]","Household","13167","13152","13150","13156","13213","13257","13255","13276","13291","13295","13323","13414","13385","13384","13372","13389","13320","13315","13321","13332","13323","13365","13409","13462","13462","13465","13477","13517","13503","13467","13455","13440","13433","13421","13418","13429","13418","13420","13409","13414","13430","13440","13430","13420","13431","13416","13427","13432","13424","13436","13410","13402","13420","13414","13395","13390","13396","13411","13412","13402","13409","13427","13435","13444","13445","13449","13446","13436","13416","13420","13417",
"Goheung-gun","Household[Household]","Household","34802","34797","34820","34867","34967","35073","35117","35161","35168","35206","35239","35290","35348","35359","35284","35339","35338","35339","35324","35326","35304","35345","35352","35379","35368","35420","35465","35498","35545","35558","35546","35550","35488","35479","35479","35445","35437","35388","35408","35442","35459","35475","35451","35438","35424","35391","35386","35360","35362","35332","35386","35390","35377","35392","35365","35343","35315","35288","35289","35280","35238","35252","35261","35269","35254","35220","35206","35148","35126","35101","35085",
"Boseong-gun","Household[Household]","Household","22350","22376","22402","22447","22511","22560","22574","22594","22607","22613","22603","22628","22665","22676","22653","22701","22497","22503","22531","22550","22521","22540","22527","22511","22500","22501","22482","22508","22498","22483","22472","22438","22358","22338","22315","22282","22275","22252","22231","22229","22206","22190","22151","22130","22096","22040","22009","21967","21943","21927","21921","21933","21892","21862","21844","21813","21764","21762","21773","21753","21788","21750","21750","21759","21733","21734","21732","21693","21679","21664","21642",
"Hwasun-gun","Household[Household]","Household","30131","30195","30308","30491","30652","30768","30819","30884","30966","30993","31019","31090","31151","31303","31253","31309","31329","31363","31401","31669","31831","31922","31984","32012","32045","32147","32164","32189","32250","32178","32156","32139","32118","32125","32108","32093","32083","32097","32116","32120","32128","32136","32152","32128","32084","32017","32019","31976","31939","31896","31862","31872","31888","31902","31907","31931","31940","31907","31879","31825","31822","31778","31775","31754","31750","31714","31686","31686","31684","31608","31606",
"Jangheung-gun","Household[Household]","Household","20188","20190","20235","20263","20312","20343","20347","20354","20344","20352","20401","20431","20398","20376","20252","20239","20217","20218","20207","20197","20170","20155","20126","20103","20092","20063","20024","20020","20013","20005","19973","19937","19867","19834","19815","19788","19779","19757","19765","19781","19796","19784","19760","19723","19715","19702","19705","19691","19690","19688","19688","19670","19652","19649","19645","19657","19654","19621","19592","19633","19643","19640","19651","19666","19696","19703","19702","19684","19683","19678","19679",
"Gangjin-gun","Household[Household]","Household","18359","18374","18436","18445","18505","18536","18551","18565","18583","18580","18607","18612","18650","18626","18574","18608","18622","18620","18633","18641","18620","18590","18576","18592","18554","18560","18540","18557","18565","18571","18582","18569","18555","18542","18532","18550","18545","18540","18552","18564","18555","18548","18538","18519","18505","18449","18445","18449","18438","18416","18415","18412","18380","18362","18339","18299","18270","18251","18196","18210","18209","18215","18212","18200","18172","18146","18139","18099","18078","18102","18132",
"Haenam-gun","Household[Household]","Household","34881","34901","34947","34967","35077","35132","35168","35188","35201","35237","35241","35259","35308","35320","35212","35261","35313","35330","35322","35323","35303","35284","35266","35225","35235","35245","35260","35237","35202","35187","35193","35157","35068","35047","35077","35074","35086","35092","35096","35087","35096","35095","35071","35057","35007","34944","34939","34916","34874","34824","34833","34856","34866","34847","34807","34760","34704","34686","34650","34600","34579","34566","34545","34531","34515","34506","34469","34425","34392","34371","34365",
"Yeongam-gun","Household[Household]","Household","27354","27372","27455","27462","27564","27660","27680","27677","27731","27751","27739","27827","27876","27912","27881","27920","27936","27993","28048","28040","28068","28139","28175","28197","28246","28262","28316","28422","28516","28554","28571","28561","28408","28370","28388","28353","28352","28401","28545","28685","28795","28867","28819","28821","28851","28841","28789","28817","28823","28799","28826","28846","28820","28788","28773","28733","28708","28674","28678","28670","28626","28598","28599","28647","28603","28577","28446","28396","28407","28364","28352",
"Muan-gun","Household[Household]","Household","36785","37011","37191","37361","37581","37728","37806","38451","39095","39411","39707","40114","40442","40793","40913","41086","41240","41475","41746","41970","42226","42384","42613","42739","42790","42839","42890","42957","43050","43105","43147","43211","43181","43220","43164","43119","43206","43246","43363","43437","43464","43482","43462","43473","43475","43435","43424","43436","43477","43450","43509","43559","43627","43840","43993","44367","44603","44739","44815","44868","44961","45178","45288","45430","45511","45671","46014","46225","46377","46406","46377",
"Hampyeong-gun","Household[Household]","Household","17845","17857","17846","17871","17922","17942","17944","17944","17965","17988","17998","17995","18012","18009","17880","17846","17837","17838","17838","17857","17877","17970","17976","17980","17942","17945","18033","18019","18018","18010","18027","18031","18008","18010","18015","18010","18012","18029","18080","18141","18123","18149","18136","18111","18073","18056","18079","18065","18025","17995","17987","17997","17995","18006","17964","17938","17883","17847","17828","17833","17796","17751","17749","17717","17702","17692","17674","17653","17648","17635","17625",
"Yeonggwang-gun","Household[Household]","Household","26718","26723","26766","26791","26887","26966","27009","27023","27053","27062","27133","27138","27166","27181","27009","27016","27033","27040","27045","27023","26986","27041","27069","27112","27179","27236","27292","27333","27411","27474","27547","27570","27490","27517","27530","27549","27569","27595","27651","27689","27721","27723","27718","27679","27664","27629","27607","27602","27579","27581","27565","27524","27487","27499","27543","27597","27718","27835","27858","27900","27959","28015","28095","28186","28221","28301","28412","28466","28497","28489","28501",
"Jangseong-gun","Household[Household]","Household","22879","22966","22967","23049","23087","23174","23193","23143","23161","23139","23141","23178","23176","23279","23133","23142","23159","23135","23143","23116","23107","23142","23167","23160","23178","23244","23216","23251","23239","23256","23286","23330","23264","23299","23276","23358","23353","23398","23431","23460","23440","23426","23416","23399","23397","23353","23341","23400","23370","23400","23408","23403","23367","23369","23361","23304","23283","23229","23223","23170","23139","23120","23400","23483","23603","23630","23624","23570","23562","23537","23540",
"Wando-gun","Household[Household]","Household","25852","25902","25904","25927","25985","26036","26111","26121","26139","26181","26219","26241","26272","26306","26291","26296","26223","26212","26178","26133","26083","26056","26055","26029","25974","25985","25957","25966","25953","25937","25917","25883","25819","25800","25767","25781","25766","25774","25740","25755","25733","25738","25727","25685","25664","25642","25607","25602","25587","25573","25577","25541","25520","25518","25486","25460","25403","25368","25373","25357","25318","25292","25277","25294","25260","25200","25184","25168","25155","25124","25102",
"Jindo-gun","Household[Household]","Household","16133","16126","16130","16172","16280","16318","16362","16401","16390","16413","16650","16840","16756","16737","16640","16649","16659","16700","16685","16656","16636","16651","16682","16700","16680","16690","16674","16687","16682","16651","16645","16632","16610","16581","16580","16578","16585","16609","16628","16647","16634","16614","16617","16567","16566","16533","16540","16548","16539","16528","16541","16533","16499","16498","16508","16540","16480","16466","16457","16436","16392","16404","16417","16436","16437","16440","16389","16378","16383","16351","16352",
"Sinan-gun","Household[Household]","Household","21757","21804","21781","21794","21853","21895","21927","21923","21898","21858","21808","21827","21803","21935","21805","21866","21889","21901","21899","21894","21861","21846","21833","21843","21814","21823","21868","21888","21911","21961","21990","21954","21894","21838","21824","21816","21810","21901","21894","21968","21996","22008","22020","22027","21998","21973","21960","21946","21924","21966","21999","21993","22006","22004","21983","21965","21950","21946","21946","21964","21970","22020","22052","22065","22078","22083","22040","22003","21953","22135","22369",
"Gyeongsangbuk-do","Household[Household]","Household","1228044","1229265","1231572","1235801","1239069","1241310","1242701","1244551","1246952","1249009","1251445","1254662","1256416","1259684","1262718","1265410","1265179","1266588","1268267","1269770","1271864","1273579","1275275","1276846","1277295","1279337","1281587","1282737","1284046","1284663","1285289","1286286","1285019","1285483","1286170","1286873","1286840","1288685","1291726","1292951","1294627","1295243","1282140","1282304","1282575","1282624","1282673","1282500","1281979","1283187","1286272","1288344","1290433","1291330","1291611","1291675","1291969","1292031","1292058","1291568","1291165","1292811","1294937","1296263","1296540","1296929","1296320","1296094","1296514","1296440","1296432",
"Pohang-si","Household[Household]","Household","220526","221005","221633","222494","223115","223485","223896","224375","224857","225027","225259","225693","226057","226944","228238","228898","228970","229461","229763","230298","230831","231176","231711","232201","232261","232573","232609","232602","232593","232603","232609","232627","232400","232428","232411","232371","232329","232471","232547","232590","232939","233091","233308","233413","233509","233619","233742","233932","234088","234349","234730","235432","235853","236110","236333","236569","236688","236749","236809","237089","237245","237565","237722","237838","237899","237991","238084","238149","238128","238324","238489",
"Nam-gu","Household[Household]","Household","104770","104616","104722","105032","105247","105302","105418","105586","105750","105778","105841","106025","106249","106793","107443","107793","107883","108103","108299","108397","108629","108802","109141","109419","109425","109597","109598","109611","109668","109729","109740","109763","109620","109586","109530","109532","109583","109654","109704","109754","110100","110282","110482","110538","110576","110616","110635","110639","110699","110827","110809","110529","110288","110198","110106","110110","110176","110114","110076","109739","109382","109370","109288","109284","109254","109254","109233","109163","109082","108979","108792",
"Buk-gu","Household[Household]","Household","115756","116389","116911","117462","117868","118183","118478","118789","119107","119249","119418","119668","119808","120151","120795","121105","121087","121358","121464","121901","122202","122374","122570","122782","122836","122976","123011","122991","122925","122874","122869","122864","122780","122842","122881","122839","122746","122817","122843","122836","122839","122809","122826","122875","122933","123003","123107","123293","123389","123522","123921","124903","125565","125912","126227","126459","126512","126635","126733","127350","127863","128195","128434","128554","128645","128737","128851","128986","129046","129345","129697",
"Gyeongju-si","Household[Household]","Household","118644","118717","118983","119379","119696","119945","120174","120405","120643","120802","121103","121505","121727","122092","121888","122131","122314","122465","122566","122742","122973","123032","123042","123071","123141","123365","123578","123823","123933","124034","124065","124137","124029","124003","124055","124027","123983","124099","124275","124355","124552","124557","124672","124742","124772","124744","124679","124577","124441","124494","124683","124703","124786","124792","124951","124963","125029","125080","125128","124985","125016","125176","125623","125868","126059","126091","126182","126237","126376","126465","126487",
"Gimcheon-si","Household[Household]","Household","65211","65248","65306","65500","65765","66194","66311","66446","66638","66727","66993","67122","67165","67407","67851","67981","68052","67881","67949","67961","68026","68159","68236","68393","68358","68494","68789","68900","68984","69009","69087","69111","69070","69063","69080","69038","68928","69079","69374","69439","69486","69460","69439","69362","69346","69296","69250","69125","69037","68970","69107","69193","69213","69135","69127","69091","69105","69091","69061","69000","69126","69176","69411","69461","69429","69397","69295","69286","69291","69215","69189",
"Andong-si","Household[Household]","Household","74888","74987","75198","75584","75768","75761","76021","76279","76435","76549","76693","76915","76973","77132","77232","77388","77267","77329","77379","77398","77504","77594","77627","77666","77636","77681","77742","77836","77914","77975","77969","77903","77832","77865","77839","77759","77740","77831","77938","77987","78153","78166","78196","78236","78260","78303","78316","78283","78258","78363","78692","79083","79717","80146","80120","80041","80051","80258","80279","80157","80013","80024","80420","81340","81312","81320","81229","81188","81289","81176","81168",
"Gumi-si","Household[Household]","Household","176328","176604","176716","177130","177634","177824","178025","178272","178712","179140","179331","179889","180189","180627","181067","181296","181372","181490","181732","181896","182378","182595","182653","182645","182799","183038","183121","183228","183527","183785","183853","184089","184105","184181","184340","184786","184999","185361","185789","186035","186353","186609","186748","186876","186960","186896","186918","187139","187316","187807","188303","188523","188875","189150","189363","189577","189787","189954","190224","190392","190369","190788","191260","191500","191723","192196","192450","192610","192882","192995","193095",
"Yeongju-si","Household[Household]","Household","49105","49150","49209","49389","49457","49480","49526","49567","49628","49678","49696","49718","49813","49872","49869","50000","49933","49959","49965","49989","50024","50050","50123","50271","50306","50387","50450","50487","50522","50576","50610","50608","50571","50616","50645","50663","50644","50731","51339","51368","51370","51363","51325","51274","51228","51422","51404","51423","51489","51487","51815","51836","51799","51838","51817","51754","51730","51687","51643","51571","51612","51592","51668","51615","51583","51587","51460","51390","51354","51287","51217",
"Yeongcheon-si","Household[Household]","Household","51366","51433","51570","51883","52007","52037","52019","52141","52330","52495","52668","52861","52875","53117","53423","53603","53392","53435","53379","53458","53437","53550","53672","53904","53821","53890","54090","54133","54173","54171","54189","54249","54253","54337","54334","54431","54422","54594","54684","54760","54826","54866","54892","54849","54866","54793","54927","54976","55037","55245","55375","55478","55538","55530","55388","55317","55225","55128","55010","54862","54716","54645","54615","54581","54586","54505","54274","54176","54102","54047","54017",
"Sangju-si","Household[Household]","Household","48527","48512","48466","48580","48635","48679","48661","48726","48755","48787","48803","48856","48860","48939","49049","49086","48773","48816","48787","48773","48774","48761","48878","48965","49046","49212","49330","49385","49392","49457","49458","49460","49378","49362","49364","49315","49281","49380","49521","49542","49627","49648","49627","49600","49592","49526","49501","49493","49385","49360","49503","49497","49505","49470","49438","49380","49348","49278","49208","49163","49122","49090","49084","49068","49040","49059","48986","48940","48923","48866","48833",
"Mungyeong-si","Household[Household]","Household","35495","35543","35581","35655","35740","36005","35958","35965","36031","36116","36113","36268","36139","36255","36880","36861","36810","36778","36775","36702","36807","36910","36946","37069","37001","37102","37666","37702","37769","37695","37659","37573","37283","37217","37143","37056","36977","36946","37091","37086","37067","37042","37024","36960","36957","36907","36880","36814","36765","36751","36771","36815","36788","36799","36745","36736","36693","36656","36656","36638","36561","36483","36530","36469","36459","36422","36316","36251","36219","36182","36156",
"Gyeongsan-si","Household[Household]","Household","115714","115844","116503","117045","117382","117601","117654","117861","118160","118507","119032","119680","120176","120577","120655","121239","121960","122666","123338","123760","124332","124572","124786","124869","124959","125244","125450","125549","125802","125875","126071","126645","126727","126869","127105","127392","127435","127901","128522","128740","128951","129053","129170","129348","129501","129486","129424","129264","128993","129191","129930","130270","130850","131061","131170","131347","131639","131720","131776","131633","131484","132468","132417","132310","132311","132328","132219","132247","132452","132377","132274",
"Gunwi-gun","Household[Household]","Household","12949","12946","12931","12966","12969","13002","13034","13054","13062","13078","13082","13096","13112","13108","13114","13123","13043","13063","13068","13062","13075","13161","13196","13258","13302","13344","13457","13526","13575","13617","13626","13635","13641","13645","13672","13693","13689","13691","13699","13727","13737","13710","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Uiseong-gun","Household[Household]","Household","28245","28237","28288","28342","28439","28508","28519","28574","28645","28681","28735","28750","28771","28783","28784","28834","28699","28759","28792","28781","28784","28789","28783","28798","28808","28846","28930","28976","29008","29010","28992","28981","28927","28898","28900","29005","29017","29019","29020","29143","29230","29265","29285","29304","29324","29461","29445","29471","29407","29394","29455","29415","29381","29323","29289","29233","29195","29167","29120","29104","29104","29067","29154","29176","29166","29179","29160","29123","29088","29051","29033",
"Cheongsong-gun","Household[Household]","Household","13900","13916","13943","13966","14004","14047","14035","14035","14036","14049","14059","14064","14081","14112","14075","14109","14052","14060","14069","14075","14066","14027","14044","14029","14047","14051","14085","14110","14106","14093","14077","14074","14031","14041","14052","14038","14030","14021","14038","14048","14059","14068","14062","14035","14009","14000","14013","13999","14009","14004","14047","14059","14058","14049","14018","13992","13984","13990","13988","13985","13976","13978","14005","14025","13999","14007","14032","13999","13979","13968","13937",
"Yeongyang-gun","Household[Household]","Household","8961","8943","8965","9003","9012","9019","9036","9027","9046","9066","9084","9127","9092","9086","9048","9042","9039","8986","8992","8994","9012","9039","9052","9055","9061","9052","9074","9111","9127","9112","9117","9098","9080","9082","9079","9070","9056","9035","9037","9036","9051","9053","9040","9024","9017","9023","9009","8994","8982","8968","8996","8988","8992","8994","8982","8991","8971","8964","8955","8954","8936","8947","8961","8968","8960","8938","8933","8929","8930","9012","9111",
"Yeongdeok-gun","Household[Household]","Household","20057","20021","20010","20040","20068","20087","20098","20100","20125","20119","20137","20153","20168","20170","20150","20138","20103","20037","20033","20026","19976","19973","19948","19895","19878","19860","19880","19872","19848","19835","19828","19834","19727","19733","19721","19741","19739","19735","19750","19756","19753","19771","19795","19784","19751","19746","19749","19725","19710","19695","19683","19660","19639","19619","19616","19593","19555","19512","19506","19486","19465","19430","19464","19475","19464","19469","19470","19458","19452","19438","19395",
"Cheongdo-gun","Household[Household]","Household","22494","22498","22528","22610","22652","22666","22699","22739","22762","22786","22819","22843","22885","22933","22942","22960","22925","22935","22968","22966","22987","23082","23179","23251","23277","23324","23330","23331","23329","23335","23356","23384","23350","23393","23437","23443","23457","23515","23584","23600","23604","23604","23597","23589","23591","23564","23543","23525","23515","23503","23516","23534","23544","23508","23489","23471","23456","23454","23434","23427","23426","23444","23458","23447","23435","23437","23439","23446","23462","23477","23486",
"Goryeong-gun","Household[Household]","Household","16237","16226","16227","16339","16416","16420","16397","16375","16363","16421","16460","16497","16526","16515","16508","16539","16499","16480","16473","16488","16472","16518","16551","16556","16582","16611","16611","16606","16596","16593","16597","16601","16572","16606","16726","16758","16767","16812","16860","16890","16890","16906","16919","16907","16921","16977","17001","17023","16999","17002","17087","17208","17277","17298","17293","17288","17307","17286","17296","17301","17316","17328","17338","17351","17340","17320","17334","17322","17302","17285","17291",
"Seongju-gun","Household[Household]","Household","22936","22943","22985","23040","23125","23156","23162","23172","23202","23223","23302","23516","23526","23527","23532","23572","23511","23524","23550","23530","23513","23538","23571","23621","23658","23721","23757","23787","23831","23823","23852","23860","23816","23820","23873","23918","23975","24012","24052","24057","24080","24095","24082","24053","24054","24079","24089","24059","24048","24079","24117","24130","24116","24130","24123","24138","24115","24065","24074","24108","24103","24088","24100","24059","24052","24024","24009","23989","23984","23964","23973",
"Chilgok-gun","Household[Household]","Household","52628","52621","52538","52655","52777","52754","52799","52759","52791","52926","53131","53026","53133","53236","53240","53287","53156","53259","53360","53498","53565","53664","53799","53883","53932","54066","54130","54167","54328","54373","54439","54485","54384","54424","54463","54443","54447","54480","54505","54539","54611","54617","54612","54664","54678","54611","54646","54578","54488","54457","54381","54324","54303","54219","54197","54136","54063","54009","53924","53873","53809","53761","53744","53707","53724","53666","53534","53495","53481","53515","53505",
"Yecheon-gun","Household[Household]","Household","26530","26652","26730","26857","26958","27058","27075","27039","27071","27108","27211","27301","27389","27489","27433","27511","27582","27605","27648","27691","27720","27750","27786","27771","27791","27828","27808","27868","27872","27860","27955","28042","28065","28140","28195","28155","28144","28176","28191","28237","28242","28247","28242","28215","28196","28196","28179","28145","28138","28148","28172","28183","28180","28157","28129","28121","28113","28067","28029","27988","27964","27975","28037","28034","28019","28011","28015","28024","28008","27994","27981",
"Bonghwa-gun","Household[Household]","Household","16704","16671","16727","16779","16825","16878","16892","16894","16889","16895","16891","16908","16913","16905","16895","16930","16860","16861","16896","16872","16862","16858","16882","16882","16856","16864","16868","16908","16922","16911","16927","16909","16851","16849","16833","16830","16829","16822","16872","16922","16953","16951","16959","16953","16926","16867","16844","16823","16799","16780","16761","16814","16791","16759","16746","16698","16694","16658","16636","16600","16552","16514","16541","16578","16578","16578","16566","16530","16506","16490","16510",
"Uljin-gun","Household[Household]","Household","25205","25164","25191","25244","25290","25368","25376","25414","25442","25468","25508","25562","25549","25525","25524","25535","25521","25437","25453","25482","25475","25500","25537","25535","25504","25453","25457","25438","25480","25462","25491","25494","25459","25452","25448","25462","25486","25458","25498","25541","25526","25508","25539","25504","25527","25517","25518","25527","25499","25499","25499","25535","25559","25554","25559","25546","25527","25564","25603","25584","25602","25615","25704","25736","25756","25757","25749","25752","25774","25809","25809",
"Ulleung-gun","Household[Household]","Household","5394","5384","5344","5321","5335","5336","5334","5332","5329","5361","5335","5312","5297","5333","5321","5347","5346","5302","5332","5328","5271","5281","5273","5258","5271","5331","5375","5392","5415","5459","5462","5487","5468","5459","5455","5479","5466","5516","5540","5553","5567","5593","5607","5612","5590","5591","5596","5605","5576","5641","5649","5664","5669","5689","5718","5693","5694","5694","5699","5668","5648","5657","5681","5657","5646","5647","5584","5553","5532","5503","5476",
"Gyeongsangnam-do","Household[Household]","Household","1453042","1455655","1458567","1461207","1465556","1468692","1470937","1473746","1476628","1478602","1481086","1484601","1487083","1490502","1490880","1493396","1494518","1496137","1498081","1499638","1501655","1503397","1504605","1505971","1506797","1508852","1510929","1512847","1514453","1515190","1515978","1516883","1515985","1516472","1516647","1516930","1517009","1518385","1520120","1521214","1522410","1523314","1523806","1524252","1524861","1524850","1525337","1525502","1525692","1526864","1529476","1530698","1531758","1532659","1534273","1535333","1536377","1536683","1537121","1537492","1537606","1539748","1541943","1543107","1544015","1544775","1545143","1545770","1546862","1547631","1547984",
"Changwon-si","Household[Household]","Household","432336","433230","434100","434929","436090","437060","437824","438558","439449","440054","440905","442097","442962","444131","445268","446135","446439","447385","448373","449121","450188","450848","451423","451940","452443","453157","454034","455079","455747","456089","456263","456650","456340","456498","456313","456191","456181","456357","456620","456739","457024","457130","457059","456952","456985","456774","456830","456830","456960","457122","457841","458161","458565","458944","459271","459420","459553","459496","459479","459474","459671","460203","460732","460941","461364","461660","461798","461948","462129","462302","462161",
"Uichang-gu","Household[Household]","Household","107621","108487","109021","109335","109878","110411","110703","110999","111205","111359","111436","111656","111702","111901","112122","112227","112257","112301","94827","95047","95291","95412","95500","95630","95732","95941","96112","96283","96406","96455","96518","96555","96587","96715","96733","96712","96695","96737","96894","97092","97216","97301","97290","97303","97274","97096","97092","96997","96932","96993","97082","97214","97224","97090","97001","96993","96930","96838","96959","97065","97185","97483","97720","97806","97826","97827","97883","97920","97977","97836","97685",
"Seongsan-gu","Household[Household]","Household","85305","85246","85381","85496","85622","85681","85788","85852","85907","85955","86046","86158","86199","86285","86386","86510","86591","86714","104562","104668","104891","104972","105005","105052","105176","105305","105528","106050","106275","106392","106447","106503","106430","106320","106201","106194","106182","106208","106300","106310","106367","106380","106399","106380","106326","106275","106232","106216","106175","106091","106238","106228","106471","106978","107342","107478","107544","107498","107418","107403","107367","107370","107667","107678","108059","108325","108462","108525","108653","109094","109416",
"Masanhappo-gu","Household[Household]","Household","78544","78502","78543","78575","78715","78823","78897","79151","79334","79387","79597","80142","80686","81409","81969","82414","82521","82904","83122","83313","83573","83753","83930","84087","84217","84392","84637","84795","84910","84914","84915","85031","84834","84846","84780","84722","84715","84783","84824","84788","84803","84779","84772","84753","85060","85292","85575","85763","85736","85779","86111","86318","86410","86449","86583","86582","86543","86477","86430","86429","86437","86437","86434","86421","86396","86437","86426","86538","86662","86659","86591",
"Masanhoewon-gu","Household[Household]","Household","80918","81071","81091","81229","81380","81454","81522","81538","81841","82054","82266","82303","82285","82258","82349","82304","82244","82261","82334","82307","82363","82411","82410","82405","82428","82420","82500","82611","82666","82732","82775","82836","82716","82734","82728","82697","82692","82694","82680","82629","82696","82681","82656","82624","82519","82379","82273","82225","82480","82686","82780","82751","82723","82680","82614","82591","82750","82877","82870","82805","82915","83198","83248","83355","83387","83422","83382","83339","83268","83187","83038",
"Jinhae-gu","Household[Household]","Household","79948","79924","80064","80294","80495","80691","80914","81018","81162","81299","81560","81838","82090","82278","82442","82680","82826","83205","83528","83786","84070","84300","84578","84766","84890","85099","85257","85340","85490","85596","85608","85725","85773","85883","85871","85866","85897","85935","85922","85920","85942","85989","85942","85892","85806","85732","85658","85629","85637","85573","85630","85650","85737","85747","85731","85776","85786","85806","85802","85772","85767","85715","85663","85681","85696","85649","85645","85626","85569","85526","85431",
"Jinju-si","Household[Household]","Household","149426","149767","150239","150653","151151","151567","151874","152389","152989","153340","153672","154197","154458","154891","154802","155054","155396","155633","155877","156271","156800","157059","157106","157292","157369","157623","157878","158186","158477","158594","158584","158715","158766","158864","158797","158827","158787","159148","159414","159544","159741","159893","159977","160112","160137","160030","159965","159833","159603","159805","160375","160582","160766","160961","161233","161320","161373","161384","161319","161283","161144","162004","162197","162246","162201","162222","162208","162221","162395","162372","162265",
"Tongyeong-si","Household[Household]","Household","59391","59408","59462","59530","59636","59648","59694","59738","59774","59811","59829","59813","59857","59881","59595","59654","59663","59641","59721","59728","59764","59766","59748","59738","59709","59747","59829","59782","59782","59783","59788","59707","59634","59612","59588","59506","59523","59529","59587","59581","59568","59596","59594","59577","59560","59526","59512","59466","59453","59433","59492","59483","59462","59498","59497","59471","59445","59404","59382","59367","59329","59304","59294","59278","59330","59354","59324","59325","59338","59285","59253",
"Sacheon-si","Household[Household]","Household","52558","52586","52614","52629","52743","52841","53023","53199","53326","53364","53439","53509","53557","53619","53473","53500","53568","53681","53744","53759","53804","53843","53905","53944","54007","54039","54086","54125","54176","54265","54395","54488","54384","54423","54438","54395","54478","54523","54622","54681","54741","54786","54859","54859","54926","55031","55084","55125","55229","55276","55365","55442","55476","55485","55505","55522","55537","55538","55559","55569","55602","55612","55691","55712","55729","55780","55922","56061","56044","56006","55988",
"Sacheon namyang branch office ","Household[Household]","Household","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"Gimhae-si","Household[Household]","Household","217591","218166","218764","219315","220083","220580","220905","221379","221892","222224","222679","223242","223712","224387","224081","224376","224709","224865","225089","225360","225612","225789","225884","225984","226203","226665","226996","227366","227699","227834","228081","228405","228341","228414","228451","228540","228661","228926","229102","229335","229535","229882","230231","230549","230940","231208","231562","231783","231951","232248","232555","232841","233026","233152","233318","233731","234058","234203","234306","234416","234519","235068","235749","236303","236637","236948","237238","237589","237955","238276","238448",
